Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented,isExternal
CRC,40,1,ChinookResW_Fish,Chinook resident central south Puget Sound,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,2,0
COH,41,1,CohoHY_Fish,Coho Hatch Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
COS,42,1,CohoSY_Fish,Coho Skagit Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
COD,43,1,CohoDSY_Fish,Coho Deep South Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
COY,44,1,CohoOY_Fish,Coho other Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
COR,45,1,CohoRes_Fish,Coho resident Puget Sound wide,3,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,2,0
CDR,47,1,CohoResD_Fish,Coho resident Deep South Yearling,3,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,2,0
CMS,46,1,ChumHSY_Fish,Chum Hatch Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CMF,48,1,ChumFSY_Fish,Chum Fall Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CMH,49,1,ChumHCSY_Fish,Chum Hood Canal summer run Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
PIS,50,1,PinkSY_Fish,Pink Salmon Subyearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
SAL,51,1,OtherSal_Fish,Other salmonids,8,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
SAF,52,1,SGeorgia_Fish,Strait of Georgia salmonids,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
FMM,53,1,Gadiods_Fish,Hake_Large gadoids,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,0,0
FVS,54,1,LgDem_Fish,Large demersal predators,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,0,0
ROC,55,1,DemRock_Fish,Demersal rockfish,10,1,2,1,4,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
MRO,56,1,MidRock_Fish,Midwater rockfish,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
DVR,57,1,DemVRock_Fish,Demersal vulnerable rockfish,10,1,2,1,7,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
MVR,58,1,MidVRock_Fish,Midwater vulnerable rockfish,10,1,2,1,4,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
SMD,59,1,SmDem_Fish,Small demersal fish,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,0,0
FDF,60,1,SmFlat_Fish,Small-mouthed Flatfish,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
HAP,61,1,PiscFlat_Fish,Piscivorous flatfish,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
DOG,62,1,Spinydog_Fish,Spiny dogfish,10,1,2,1,7,1,1,1,1,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,0,2,0,0,0
SBL,63,1,Sixgill_Shark,Sixgill Shark,10,1,2,1,8,1,1,1,0,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,1,2,0,0,0
SSK,64,1,SkateRay,Skates,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,1,1,0,0,0
RAT,65,1,Ratfish,Ratfish,10,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0,0,0
SB,66,1,Pisc_Seabird,Seabirds (piscivorous),10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,BIRD,1,0,0,0,1,0,0,0,1,0,0,0
SP,67,1,NonPisc_Seabird,Seabirds (mainly non-piscivorous),10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,BIRD,1,0,0,0,0,0,0,0,1,0,0,0
BE,68,1,Raptors,Raptors,10,1,2,1,3,1,1,1,2,0,0,0,0,1,0,BIRD,1,0,0,0,1,0,0,0,1,0,0,0
HSL,69,1,Harbor_seal,Harbor seals,10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,1,0,0,0
CSL,70,1,California_sea_lion,California sea lions,10,1,2,1,1,1,1,1,1,0,1,1,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,1,0,0,0
PIN,71,1,Pinniped,Steller sea lions,10,1,2,1,3,1,1,1,1,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0
PHR,72,1,Porpoise,Harbor porpoise,10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,1,0,0,0
ROR,73,1,Res_Orca,Resident Orca,10,1,2,1,9,1,1,1,1,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0
TOR,74,1,Trans_Orca,Transient Orca,10,1,2,1,9,1,1,1,2,0,1,1,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0
HUW,75,1,Hump_whale,Humpback whales,10,1,2,1,8,1,1,1,1,0,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0,0
DL,76,1,Lab_Det,Labile detritus,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,LAB_DET,0,0,0,0,0,0,0,0,1,0,0,0
DR,77,1,Ref_Det,Refractory detritus,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,REF_DET,0,0,0,0,0,0,0,0,1,0,0,0
DC,78,1,Carrion,Carrion,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,CARRION,0,0,0,0,0,0,0,0,1,0,0,0
